gene	A.x0	A.x1	A.x2	B.x0	B.x1	B.x2	B.x3	B.x4	B.x5	B.x6	B.x7	B.x8	B.x9	C.x0	C.x1	C.x2
chrI:100060-101169-;YAL025C	0.0121190195384067	0.0145428234461269	0.0399927644767274	0.131571681913561	0.213803983109841	0.242311180858063	0.301518437719287	0.258757641097562	0.289457700210565	0.268625517240289	0.288361269528175	0.195164661505562	0.0493393807176463	0.0181785293076586	0.032721352753664	0.0218142351690688
chrI:101438-105933-;YAL024C	0.0545355879228543	0.0375689605690801	0.0375689605690801	0.0592416499037765	0.0397649430860282	0.0373303547338249	0.0346252565647776	0.0267804718743582	0.0430110608890065	0.0438225903397815	0.0446341197905565	0.0394944332691843	0.0357072958323966	0.0109071175845587	0.0133309214922425	0.0642308035535651
chrI:106162-108636-;YAL023C	0.0351451566613113	0.0302975488460167	0.0715022152766285	0.279165256324751	0.272775910669146	0.191188881531902	0.181359118985846	0.16415703452873	0.197086739059778	0.170546380184334	0.14793792632707	0.184799535877513	0.0973146492117841	0.0412046664306119	0.0254499410306005	0.0545355879228543
chrI:108838-110464-;YAL022C	0.0290856468921322	0.0133309214922425	0.0315094507999011	0.0882417662905476	0.0493555641964286	0.0800158389244559	0.0919808241842035	0.0927286357628617	0.0680508536647082	0.0560858684049606	0.0508511873538666	0.0515989989325248	0.040381825251557	0.0315094507999011	0.0715022152766285	0.218142351690688
chrI:110617-113399-;YAL021C	0.0860450387226339	0.0581712937843861	0.0484760781536753	0.140738031596	0.154287345196952	0.148168300344634	0.123692120936581	0.0725543889595419	0.0861037025603718	0.0769251352823824	0.0651241202106643	0.0738656128563454	0.0393367169058079	0.0242380390768377	0.0460522742459064	0.0860450387226339
chrI:113563-114615-;YAL020C	0.0860450387226339	0.0412046664306119	0.0145428234461269	0.0751294731523129	0.139856403868445	0.152570622401609	0.109804614607301	0.0982462341223862	0.080908663394892	0.121362995092338	0.115583804849759	0.0959345580252816	0.076285311200926	0.0399927644767274	0.0884688426304027	0.138156822737233
chrI:114815-118376+;YAL019W	0.0751379211381603	0.0133309214922425	0.0436284703382592	0.105852823469838	0.0976577661689534	0.110633273562061	0.0781945050792922	0.104486980586398	0.0710238299410791	0.0607800083149736	0.0491703438053063	0.0556580975018601	0.0314143863200974	0.00242380390768377	0.00605950976920334	0.0109071175845587
chrI:124879-126856+;YAL016W	0.00605950976920334	0.0412046664306119	0.0969521563072291	0.186973320492179	0.188203408127524	0.0922565726114742	0.0861061344374245	0.0947167478811913	0.0719601266370374	0.0891813535244494	0.074420301906633	0.0959468355159283	0.0504335930276205	0.0278737449383694	0.0642308035535651	0.0436284703382592
chrI:126788-128102-;YAL015C	0.0836212348149866	0.0351451566613113	0.0121190195384067	0.0360895916695353	0.0453433331232592	0.040716462396458	0.0444179589778989	0.0462687072686194	0.0675523126122694	0.0481194555593398	0.040716462396458	0.0536717004316228	0.0296119726518921	0.0533236859689699	0.0993759602148764	0.0933164504456973
chrI:129237-130572+;YAL013W	0.105435469984055	0.0508998820613226	0.0242380390768377	0.0819735928328266	0.104744035286383	0.16121473257127	0.223150336044924	0.151195737891136	0.159393097174772	0.101100764493751	0.143909196306358	0.0965466760031123	0.0701329627569239	0.0448403722921436	0.112706881707119	0.282373155244496
