gene	A.x0	A.x1	A.x2	B.x0	B.x1	B.x2	B.x3	B.x4	B.x5	B.x6	B.x7	B.x8	B.x9	C.x0	C.x1	C.x2
chrI:100060-101169-;YAL025C	0.0378767327790977	0.014393158456045	0.0356041288123458	0.102803395550306	0.148036889592198	0.193270383634089	0.226167470210217	0.174080416464871	0.198067875426203	0.181619332138519	0.154205093325459	0.1329590582449	0.0520870537453465	0.0590877031353986	0.0977219705697256	NA
chrI:101438-105933-;YAL024C	0.0916616933257631	0.0984795052254109	0.0598452377909319	0.0622251381011883	0.0402434317067294	0.0437943227396963	0.0390598013624832	0.0344943700343395	0.0390598013624832	0.0378761710181609	0.0316198391981825	0.0351707302311494	0.0473452137726631	0.0303013862233086	0.0128780891449024	0.0545424952018947
chrI:106162-108636-;YAL023C	0.0621178417576838	0.0787836041806328	0.0848438814253553	0.21935435592763	0.214131633167792	0.159139434692624	0.15791055874958	0.146543456271481	0.162518843537896	0.133640258863437	0.125345346244469	0.159446653678765	0.109677177964195	0.103024713158763	0.0704507229690823	0.0613603071021505
chrI:108838-110464-;YAL022C	0.0439370100237443	0.026513712945338	0.067420584346797	0.118262682711528	0.0416022875940764	0.0654418007097438	0.0626371521078738	0.073855746515278	0.0822696923209641	0.0537557648687453	0.0761929536834777	0.0822696923209641	0.0631045935415441	0.0795411388363181	0.081813742802614	0
chrI:110617-113399-;YAL021C	0.0727233269358342	0.0537849605462854	0.0787836041806328	0.131412203414797	0.119937541161797	0.106550435201104	0.104091579004413	0.0633838486323484	0.0814154607436729	0.0631106423883054	0.0661159110734628	0.0786833983024825	0.0631106423883054	0.0310589208788419	0.110600059714856	0.117417871615264
chrI:113563-114615-;YAL020C	0.0583301684797892	0.0333315248455939	0.0257561782898047	0.0614116735205057	0.096091206802383	0.0888663040353093	0.0787514401612543	0.0606891832437223	0.0787514401612543	0.0939237359727169	0.0989811679093644	0.0895887943118647	0.0722490276711161	0.0560575645130373	0.0999945745367816	0.14393158456045
chrI:114815-118376+;YAL019W	0.0628753764132931	0.0234835743230528	0.0333315248455939	0.08153407260927	0.0836684724151507	0.0838819123962708	0.065312634079408	0.0866566321447519	0.0565615948727128	0.0446089559562084	0.0403401563431548	0.0471702357240253	0.032656317039704	0.0196959010451582	0.0189383663895489	0.00984795052254109
chrI:124879-126856+;YAL016W	0.0204534357006915	0.0386342674347071	0.081813742802614	0.111490811137308	0.117642028303866	0.0726612527758903	0.0642033291723861	0.0830414317435923	0.0688167420470386	0.0853481381811466	0.0603588184434584	0.0922682574930493	0.0557454055688059	0.0590877031353986	0.0848438814253553	0.0401493367458497
chrI:126788-128102-;YAL015C	0.0742383962470529	0.0416644060569923	0.0219685050118341	0.0740393079914965	0.0618922340241517	0.0295000367778482	0.0364412219021104	0.0410686786515172	0.0520588884315102	0.0300784688715241	0.0387549502768138	0.0850295177717176	0.0381765181831379	0.0606027724465412	0.104539782470133	0.0871164853916512
chrI:129237-130572+;YAL013W	0.0863589507359659	0.0348465941567365	0.0272712476009473	0.0717359783959851	0.0819839753094583	0.138347958335043	0.131515960392525	0.0990639701661339	0.103618635460893	0.0899546395758562	0.0865386406049772	0.0825533084717782	0.0899546395758562	0.0719657922803009	0.150749396460858	0.220442584774027
